Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
FERRARI,SF90 STRADALE,V8,3990 cc,963.0,340.0,2.5 sec,1100000.0,plug in hyrbrid,2.0,800.0
ROLLS ROYCE,PHANTOM,V12,6749 cc,563.0,250.0,5.3 sec,460000.0,Petrol,5.0,900.0
Ford,KA+,1.2L Petrol,"1,200 cc",70.0,165.0,10.5 sec,12000.0,Petrol,5.0,100.0
MERCEDES, GT 63 S,V8,"3,982 cc",630.0,250.0,3.2 sec,161000.0,Petrol,4.0,900.0
AUDI,AUDI R8 Gt,V10,"5,204 cc",602.0,320.0,3.6 sec,253290.0,Petrol,2.0,560.0
BMW,Mclaren 720s,V8,"3,994 cc",710.0,341.0,2.9 sec,499000.0,Petrol,2.0,770.0
ASTON MARTIN,VANTAGE F1,V8,"3,982 cc",656.0,314.0,3.6 sec,193440.0,Petrol,2.0,685.0
BENTLEY,Continental GT Azure,V8,"3,996 cc",550.0,318.0,4.0 sec,311000.0,Petrol,4.0,900.0
LAMBORGHINI,VENENO ROADSTER,V12,"6,498 cc",750.0,356.0,2.9 sec,4500000.0,Petrol,2.0,690.0
FERRARI,F8 TRIBUTO,V8,"3,900 cc",710.0,340.0,2.9 sec,280000.0,Petrol,2.0,770.0
FERRARI,812 GTS,V12,6496 cc,789.0,340.0,2.9 sec,350000.0,Petrol,2.0,718.0
FERRARI,PORTOFINO,V8,"3,900 cc",592.0,320.0,3.2 sec,210000.0,Petrol,5.0,760.0
FERRARI,ROMA,V8,"3,900 cc",612.0,320.0,3.4 sec,230000.0,Petrol,5.0,760.0
FERRARI,MONZA SP2,V12,"6,496 cc",789.0,340.0,2.9 sec,1700000.0,Petrol,2.0,719.0
FERRARI,F8 SPIDER,V8,"3,900 cc",710.0,340.0,2.9 sec,280000.0,Petrol,2.0,770.0
FERRARI,PORTOFINO M,V8,"3,900 cc",612.0,320.0,3.2 sec,220000.0,Petrol,5.0,760.0
